CarNumber,Refund,Fines,Make,Model,Year
E535MM199RUS,1.0,500.0,Volkswagen,Touareg,2007
Y352O8197RUS,2.0,103600.0,Ford,Focus,2013
7788KT197RUS,2.0,12000.0,Ford,Focus,2012
E807HE77RUS,2.0,4500.0,Ford,Focus,2011
M516CH161RUS,1.0,1000.0,Ford,Focus,1982
89587X197RUS,1.0,8594.6,Toyota,Camry,2002
7781KT197RUS,2.0,600.0,Ford,Focus,1990
E645TH36RUS,1.0,2400.0,Ford,Focus,2009
Y302E877RUS,1.0,500.0,Ford,Focus,2005
M058XE36RUS,2.0,8500.0,Skoda,Octavia,1997
7830C8197RUS,1.0,5100.0,Ford,Focus,1983
8166XX154RUS,1.0,2400.0,Ford,Focus,1981
M589CH197RUS,2.0,7900.0,Volkswagen,,1981
9408H7178RUS,1.0,1000.0,Skoda,Octavia,1995
H387TM197RUS,2.0,1600.0,Volkswagen,Passat,2013
8049HT125RUS,1.0,500.0,Ford,Focus,2013
9698MO178RUS,2.0,18400.0,Volkswagen,Golf,1991
8685HE154RUS,1.0,1000.0,Ford,Focus,1991
7177TT36RUS,1.0,1000.0,Ford,Focus,1993
O77997197RUS,1.0,22400.0,Ford,Focus,2017
Y234E877RUS,1.0,8594.6,Ford,Focus,2016
97987H178RUS,2.0,5000.0,Ford,Focus,2002
X257HE161RUS,2.0,10000.0,Ford,Focus,1997
T399KX197RUS,2.0,10200.0,Ford,Focus,1989
H957HY161RUS,1.0,2000.0,Ford,Focus,2009
K379HY161RUS,1.0,200.0,Volkswagen,Golf,1983
T654HT96RUS,1.0,4000.0,Toyota,Corolla,2010
8439XX154RUS,2.0,4600.0,Ford,Focus,2018
Y965EE197RUS,2.0,9600.0,Ford,Focus,2008
X758HY197RUS,2.0,24200.0,Ford,Focus,2004
M0279X197RUS,2.0,180000.0,Ford,Focus,1981
H224X836RUS,1.0,3500.0,Ford,Focus,1981
E6849O154RUS,1.0,200.0,Volkswagen,Golf,2008
O83797197RUS,2.0,75900.0,Ford,Focus,1996
9402KK197RUS,2.0,8594.6,Toyota,Camry,2005
7368C8197RUS,1.0,4400.0,Ford,Focus,2015
H427YH197RUS,2.0,29700.0,Volkswagen,Passat,1990
9583EY178RUS,2.0,4300.0,Ford,Focus,1989
Y038E877RUS,2.0,6500.0,Ford,Focus,1984
9822H8161RUS,1.0,100.0,Ford,Focus,2008
7826C8197RUS,2.0,3600.0,Ford,Focus,1996
E160YX77RUS,2.0,2200.0,Ford,Focus,2014
82337X197RUS,2.0,2100.0,Ford,Focus,1980
X757HY197RUS,2.0,6800.0,Ford,Focus,2010
X765HY197RUS,2.0,13900.0,Ford,Focus,1994
934497178RUS,2.0,1900.0,Skoda,Octavia,1981
K2807K154RUS,1.0,1000.0,Ford,Focus,1994
T8008Y125RUS,2.0,1000.0,Ford,Focus,1981
X765HY197RUS,2.0,27800.0,Ford,Focus,2016
Y960EE197RUS,1.0,8594.6,Skoda,Octavia,1980
7840C8197RUS,2.0,7000.0,Ford,Focus,1983
K846YE77RUS,2.0,2000.0,Volkswagen,Passat,1987
E40577152RUS,1.0,500.0,Ford,Focus,2012
7827C8197RUS,1.0,7500.0,Ford,Focus,2004
Y655E8750RUS,2.0,5200.0,Skoda,Octavia,2015
H003MH197RUS,2.0,2900.0,Ford,Focus,2010
Y7699C197RUS,2.0,15800.0,Ford,Focus,1990
Y8399C197RUS,2.0,1800.0,Ford,Focus,2009
9135X938RUS,2.0,4400.0,Ford,Focus,2003
H385TM197RUS,1.0,9500.0,Volkswagen,Passat,2010
9428EX178RUS,1.0,1000.0,Ford,Focus,2017
H837YK197RUS,2.0,4200.0,Audi,,1992
O83597197RUS,2.0,4000.0,Ford,Focus,2015
E42577152RUS,2.0,8594.6,Ford,Focus,2014
E53277152RUS,1.0,1000.0,Ford,Focus,1998
C476M7161RUS,2.0,1500.0,Ford,Focus,2006
9943KK197RUS,2.0,29700.0,Ford,Focus,2011
8165XX154RUS,1.0,4900.0,Ford,Focus,1995
T476KX197RUS,1.0,1500.0,Ford,Focus,2005
C422X938RUS,2.0,10500.0,Ford,Focus,1998
K328T8197RUS,1.0,300.0,Volkswagen,Golf,1994
9466EX178RUS,2.0,800.0,Ford,Focus,2018
X256HE161RUS,1.0,2400.0,Ford,Focus,1983
Y275O8197RUS,1.0,8594.6,Ford,Focus,2006
8165XX154RUS,2.0,4200.0,Ford,Focus,2017
E432XX77RUS,2.0,13000.0,Toyota,Camry,1992
7830C8197RUS,2.0,10200.0,Ford,Focus,1981
H217X836RUS,1.0,2000.0,Ford,Focus,1985
Y316E877RUS,2.0,7000.0,Ford,Focus,1990
934497178RUS,1.0,3800.0,Skoda,Octavia,2016
O77997197RUS,2.0,8594.6,Ford,Focus,1983
8601XX154RUS,1.0,1300.0,Skoda,Octavia,2002
M741T9152RUS,2.0,1000.0,Ford,Focus,1985
9883HX152RUS,2.0,1000.0,Ford,Focus,1991
Y6829Y50RUS,1.0,500.0,Ford,Focus,1999
H004MH197RUS,1.0,39600.0,Ford,Focus,2015
704987163RUS,2.0,8594.6,Ford,Focus,2014
E160YX77RUS,2.0,1100.0,Ford,Focus,1991
E316EH197RUS,1.0,1300.0,Volkswagen,,1980
X758HY197RUS,2.0,72600.0,Ford,Focus,1985
O22297197RUS,1.0,500.0,Ford,Focus,2016
O02597197RUS,1.0,800.0,Ford,Focus,1981
X015HY197RUS,2.0,16000.0,Toyota,Corolla,2006
T769OT197RUS,2.0,30900.0,Volkswagen,Golf,2001
Y778EE197RUS,1.0,24000.0,Volkswagen,Golf,1996
7829C8197RUS,2.0,1800.0,Ford,Focus,1993
T272HH163RUS,1.0,1000.0,Ford,Focus,1995
T018OX197RUS,2.0,3400.0,Toyota,Corolla,2003
Y255E877RUS,1.0,2500.0,Ford,Focus,1982
9182CE154RUS,2.0,13200.0,Ford,Focus,1995
9697MO178RUS,1.0,1000.0,Volkswagen,Golf,1991
C477M7161RUS,2.0,5000.0,Ford,Focus,2008
T686EO197RUS,1.0,500.0,Toyota,Camry,1999
C590EY154RUS,2.0,8594.6,Ford,Focus,1998
T941CC96RUS,1.0,2000.0,Ford,Focus,2003
O22397197RUS,2.0,55500.0,Ford,Focus,2006
X242EC197RUS,2.0,10600.0,Volkswagen,Golf,1996
T020OX197RUS,1.0,34300.0,Toyota,Corolla,1994
E33577152RUS,2.0,2000.0,Ford,Focus,1987
Y973O8197RUS,1.0,34800.0,Ford,Focus,2013
E773EH197RUS,2.0,6800.0,Ford,Focus,1990
T6428M116RUS,2.0,6000.0,Ford,Focus,2011
Y7129Y50RUS,2.0,32000.0,Ford,Focus,2002
Y418EX197RUS,2.0,900.0,Volkswagen,Passat,1980
Y7689C197RUS,1.0,27000.0,Ford,Focus,1997
7066C8197RUS,1.0,3000.0,Volkswagen,Passat,1981
E52877152RUS,1.0,1500.0,Ford,Focus,1985
7369C8197RUS,2.0,8594.6,Ford,Focus,2002
Y166O8161RUS,1.0,100.0,Ford,Focus,2001
705287163RUS,2.0,2000.0,Ford,Focus,1990
K559KC161RUS,1.0,100.0,Ford,Focus,1991
M0299X197RUS,2.0,67200.0,Ford,Focus,1995
92928M178RUS,1.0,600.0,Ford,Focus,1993
9822H8161RUS,1.0,200.0,Ford,Focus,2015
8603T8154RUS,1.0,3000.0,Ford,Focus,1999
84418C154RUS,1.0,3000.0,Ford,Focus,1989
E53488152RUS,2.0,1800.0,Ford,Focus,2012
9697MO178RUS,1.0,500.0,Volkswagen,Golf,1998
Y7709C197RUS,1.0,1500.0,Ford,Focus,1983
90159H178RUS,2.0,600.0,Volkswagen,Passat,1983
C798ET50RUS,1.0,10000.0,Ford,Focus,1989
Y193O8161RUS,2.0,600.0,Ford,Focus,2005
7248C8197RUS,2.0,8600.0,Ford,Mondeo,2017
Y275O8197RUS,1.0,6000.0,Ford,Focus,2006
K357YE77RUS,1.0,5000.0,Volkswagen,Golf,1982
9697MO178RUS,1.0,8594.6,Volkswagen,Golf,1981
E0697X152RUS,1.0,2000.0,Skoda,Octavia,2004
E40877152RUS,1.0,1000.0,Ford,Focus,1991
Y351O8197RUS,1.0,1500.0,Ford,Focus,2001
Y356O8197RUS,2.0,45900.0,Ford,Focus,2010
O6939X163RUS,1.0,7200.0,Ford,Focus,1991
Y7649C197RUS,2.0,5300.0,Ford,Focus,2018
9935TE152RUS,2.0,2500.0,Ford,Focus,2013
704687163RUS,2.0,1400.0,Ford,Focus,2014
7197TT36RUS,2.0,6800.0,Ford,Focus,1991
X765HY197RUS,2.0,41700.0,Ford,Focus,1985
H115YO163RUS,1.0,8594.6,Ford,Focus,1981
O143HO197RUS,2.0,30300.0,Toyota,Corolla,1987
K436MO152RUS,1.0,1500.0,Ford,Focus,2014
9938OH154RUS,1.0,500.0,Skoda,Octavia,1993
E34877152RUS,2.0,6100.0,Ford,Focus,2000
E5878M777RUS,1.0,8500.0,Skoda,Octavia,1993
E33577152RUS,1.0,1000.0,Ford,Focus,2008
7844C8197RUS,2.0,34000.0,Ford,Focus,1983
X256HE161RUS,2.0,800.0,Ford,Focus,1980
C584EY154RUS,1.0,500.0,Ford,Focus,1995
E28977161RUS,2.0,1500.0,Ford,Focus,2017
T016OX197RUS,2.0,3200.0,Toyota,Corolla,1983
H889YK197RUS,2.0,10600.0,Ford,Focus,2008
7363C8197RUS,2.0,1600.0,Ford,Focus,1989
T6039O50RUS,2.0,1500.0,Ford,Focus,1997
7365C8197RUS,1.0,2300.0,Ford,Focus,1986
Y967O8197RUS,1.0,4000.0,Ford,Focus,1981
E816HE77RUS,1.0,3000.0,Ford,Focus,2010
T6329O50RUS,1.0,500.0,Ford,Focus,2018
X504X8197RUS,1.0,8594.6,Skoda,Octavia,1999
M581CH197RUS,1.0,200.0,Ford,Focus,2002
X523OM161RUS,2.0,800.0,Ford,Focus,2013
C412X938RUS,1.0,1000.0,Ford,Focus,2002
7831C8197RUS,2.0,3400.0,Ford,Focus,1992
8164XX154RUS,2.0,4400.0,Ford,Focus,2003
H004MH197RUS,2.0,9900.0,Ford,Focus,2018
X015HY197RUS,2.0,24000.0,Toyota,Corolla,1987
T6419O50RUS,2.0,9000.0,Ford,Focus,1998
E822TH36RUS,2.0,12900.0,Ford,Focus,2009
8437XX154RUS,1.0,8594.6,Ford,Focus,2011
E445TC197RUS,1.0,3400.0,Ford,Focus,2006
C515X938RUS,1.0,1900.0,Ford,Focus,2001
7172TT36RUS,2.0,5700.0,Ford,Focus,2003
8436XX154RUS,1.0,800.0,Ford,Focus,2014
E79988152RUS,1.0,500.0,Ford,Focus,1999
8180XX154RUS,1.0,2800.0,Ford,Focus,1992
84438C154RUS,2.0,3800.0,Ford,Focus,1985
T6309O50RUS,2.0,24000.0,Ford,Focus,2003
T6129O50RUS,2.0,6000.0,Ford,Focus,1985
K339T8197RUS,2.0,19200.0,Ford,Focus,1996
8685HE154RUS,1.0,2000.0,Ford,Focus,2013
X782CO96RUS,1.0,8594.6,Ford,Focus,2012
E591HE77RUS,2.0,6000.0,Ford,Focus,2007
89587X197RUS,1.0,4400.0,Toyota,Camry,1995
9499KX178RUS,1.0,2300.0,Ford,Focus,2014
8818C877RUS,1.0,5000.0,Volkswagen,Passat,2007
Y357O8197RUS,1.0,2200.0,Ford,Focus,2015
Y652O8197RUS,1.0,5800.0,Volkswagen,Touareg,2009
X767HY197RUS,2.0,18000.0,Ford,Focus,2015
H220X836RUS,1.0,7000.0,Ford,Focus,1984
H218X836RUS,2.0,17500.0,Ford,Focus,1990
T913CT197RUS,1.0,7900.0,Toyota,Camry,2004
T6439O50RUS,2.0,16500.0,Ford,Focus,2017
7784KT197RUS,2.0,13200.0,Ford,Focus,2004
X286TC36RUS,2.0,8594.6,Ford,Focus,1993
O752MX161RUS,1.0,1300.0,Ford,Focus,1982
Y7449Y50RUS,1.0,8000.0,Ford,Focus,1986
H115YO163RUS,2.0,1100.0,Ford,Focus,2004
8818C877RUS,2.0,10000.0,Volkswagen,Passat,1997
92828M178RUS,1.0,300.0,Ford,Focus,2006
Y650E8750RUS,1.0,500.0,Skoda,Octavia,2008
X767HY197RUS,2.0,36000.0,Ford,Focus,1984
9498KX178RUS,2.0,800.0,Ford,Focus,2002
83298C154RUS,1.0,100.0,Ford,Focus,1987
8321XX154RUS,1.0,100.0,Ford,Focus,2011
8316XX154RUS,1.0,2200.0,Ford,Focus,2010
T017OX197RUS,2.0,12700.0,Toyota,Corolla,1994
H977HY161RUS,1.0,8594.6,Ford,Focus,2016
7788KT197RUS,2.0,8594.6,Ford,Focus,1987
X522OM161RUS,1.0,1500.0,Ford,Focus,2010
O085E8197RUS,1.0,300.0,Volkswagen,Golf,2004
8166XX154RUS,1.0,600.0,Ford,Focus,2009
705387163RUS,2.0,700.0,Ford,Focus,2005
O017KO197RUS,1.0,800.0,Ford,Focus,1996
X4138H125RUS,1.0,300.0,Ford,Focus,1998
8441XX154RUS,1.0,500.0,Ford,Focus,1992
M0269X197RUS,2.0,8594.6,Ford,Focus,2004
7781KT197RUS,1.0,1200.0,Ford,Focus,2006
T483CT96RUS,1.0,500.0,Ford,Focus,1983
T940CC96RUS,2.0,1500.0,Ford,Focus,2009
C58078163RUS,1.0,100.0,Ford,Focus,1989
O02397197RUS,1.0,4000.0,Volkswagen,Jetta,1990
T018OX197RUS,2.0,6800.0,Toyota,Corolla,1981
H963HY161RUS,1.0,1400.0,Ford,Focus,1997
8611T8154RUS,2.0,2000.0,Ford,Focus,2008
704787163RUS,2.0,2800.0,Ford,Focus,2005
E53488152RUS,2.0,3600.0,Ford,Focus,2018
Y7129Y50RUS,1.0,16000.0,Ford,Focus,2009
C313MM99RUS,1.0,7500.0,Toyota,Camry,2012
8611T8154RUS,1.0,1000.0,Ford,Focus,1987
X763HY197RUS,2.0,9500.0,Ford,Focus,1980
M386M9197RUS,2.0,5800.0,Volkswagen,Golf,2005
8605T8154RUS,1.0,1000.0,Ford,Focus,2002
O22297197RUS,1.0,8594.6,Ford,Focus,1988
7147OE161RUS,1.0,500.0,Ford,Focus,2016
O134HE197RUS,2.0,7600.0,Ford,Focus,1990
7361C8197RUS,1.0,1600.0,Ford,Focus,1992
Y359EY197RUS,2.0,3000.0,Skoda,Octavia,2011
T6559O50RUS,1.0,4000.0,Ford,Focus,2009
E53277152RUS,1.0,500.0,Ford,Focus,2006
X015HY197RUS,1.0,8000.0,Toyota,Corolla,1991
9469EX178RUS,2.0,2100.0,Ford,Focus,2009
Y6839Y50RUS,2.0,3000.0,Ford,Focus,1985
H237YH197RUS,1.0,600.0,Ford,Focus,1986
T948OM96RUS,1.0,2000.0,Ford,Focus,2015
T395KX197RUS,2.0,15200.0,Ford,Focus,2003
M301CH161RUS,1.0,8000.0,Ford,Focus,1995
M581CH197RUS,1.0,100.0,Ford,Focus,1990
E79988152RUS,1.0,1500.0,Ford,Focus,2000
9496KX178RUS,1.0,500.0,Ford,Focus,1988
T6319O50RUS,2.0,8594.6,Ford,Focus,2009
H305T8197RUS,1.0,28100.0,Ford,Focus,1998
8201XX154RUS,2.0,2600.0,Ford,Focus,1985
O64297197RUS,1.0,300.0,Ford,Focus,1998
9523M8178RUS,1.0,600.0,Skoda,Octavia,1988
Y273O8197RUS,2.0,52600.0,Ford,Focus,1994
T6229O50RUS,2.0,2500.0,Ford,Focus,1999
9943KK197RUS,2.0,19800.0,Ford,Focus,1980
X023HY197RUS,2.0,10200.0,Volvo,,2015
8226XX154RUS,2.0,1000.0,Ford,Focus,1987
Y038TO197RUS,1.0,7600.0,Toyota,Corolla,2006
M0289X197RUS,2.0,40600.0,Ford,Focus,2006
E811HE77RUS,2.0,7000.0,Ford,Focus,1996
X795O796RUS,1.0,2000.0,Ford,Focus,2012
O39997197RUS,1.0,9000.0,Ford,Focus,2001
97968K152RUS,2.0,500.0,Ford,Focus,1980
K339T8197RUS,2.0,8594.6,Ford,Focus,2013
H219X836RUS,1.0,1600.0,Ford,Focus,2000
T6169O50RUS,1.0,500.0,Ford,Focus,2000
Y352O8197RUS,2.0,25900.0,Ford,Focus,1982
94178K154RUS,1.0,500.0,Ford,Focus,1994
7365C8197RUS,2.0,6900.0,Ford,Focus,1995
9467EX178RUS,2.0,3700.0,Ford,Focus,1981
O78097197RUS,2.0,1400.0,Ford,Focus,2002
X5707X161RUS,2.0,500.0,Volkswagen,Passat,1983
Y232E877RUS,2.0,5000.0,Ford,Focus,1980
Y388E877RUS,2.0,19000.0,Ford,Focus,2012
X255HE161RUS,1.0,400.0,Ford,Focus,2003
E552MO152RUS,1.0,8594.6,Ford,Focus,2004
97998K152RUS,2.0,6300.0,Ford,Focus,2018
Y963O8197RUS,2.0,21600.0,Ford,Focus,1984
Y778EE197RUS,2.0,168000.0,Volkswagen,Golf,1985
T654HT96RUS,2.0,2000.0,Toyota,Corolla,2010
T477KX197RUS,2.0,94000.0,Ford,Focus,2001
T2639T116RUS,1.0,3000.0,Ford,Focus,1985
O49797197RUS,2.0,5300.0,Ford,Focus,1980
O83597197RUS,2.0,8000.0,Ford,Focus,1986
H387TM197RUS,2.0,3200.0,Volkswagen,Passat,1993
O68897197RUS,1.0,8200.0,Ford,Focus,2006
72457Y96RUS,1.0,900.0,Ford,Focus,2017
7064C8197RUS,1.0,12800.0,Volkswagen,Passat,1994
E948C8152RUS,2.0,6000.0,Ford,Focus,1989
C514X938RUS,2.0,8594.6,Ford,Focus,2000
C589EY154RUS,1.0,4500.0,Ford,Focus,1982
K899T8197RUS,2.0,15400.0,Ford,Focus,1995
T6418M116RUS,2.0,24600.0,Ford,Focus,1997
8607XX154RUS,2.0,2400.0,Skoda,Octavia,2017
92778M178RUS,2.0,3000.0,Ford,Focus,1990
T288CT96RUS,1.0,4500.0,Ford,Focus,1995
9886HX152RUS,2.0,2900.0,Ford,Focus,1989
C583EY154RUS,1.0,1000.0,Ford,Focus,1982
7788KT197RUS,1.0,20000.0,Ford,Focus,2016
T016OX197RUS,2.0,9600.0,Toyota,Corolla,1983
T6419O50RUS,2.0,27000.0,Ford,Focus,2004
C592EY154RUS,1.0,1000.0,Ford,Focus,1995
T6459O50RUS,1.0,2000.0,Ford,Focus,2004
Y356O8197RUS,2.0,8594.6,Ford,Focus,2007
X759HY197RUS,2.0,12500.0,Ford,Focus,2001
705787163RUS,1.0,100.0,Ford,Focus,2001
Y973O8197RUS,1.0,69600.0,Ford,Focus,1989
92898M178RUS,1.0,1600.0,Ford,Focus,1985
9671EC178RUS,1.0,600.0,Ford,Focus,2002
M302CH161RUS,1.0,500.0,Ford,Focus,2009
X023HY197RUS,2.0,6800.0,Volvo,,2009
M578CH197RUS,2.0,9000.0,Ford,Focus,1992
O77997197RUS,2.0,5600.0,Ford,Focus,1990
7368C8197RUS,2.0,8800.0,Ford,Focus,1982
9683EC178RUS,2.0,6500.0,Ford,Focus,1984
Y207O8161RUS,1.0,500.0,Ford,Focus,2014
96659X178RUS,1.0,2700.0,Ford,Focus,2005
T912CT197RUS,2.0,19800.0,Toyota,Camry,1986
7183TT36RUS,2.0,16200.0,Ford,Focus,2015
89557X197RUS,2.0,22400.0,Toyota,Camry,2010
E773EH197RUS,2.0,8594.6,Ford,Focus,1993
Y359O8197RUS,1.0,2000.0,Ford,Focus,2017
K2817K154RUS,1.0,4500.0,Ford,Focus,1991
X758HY197RUS,2.0,145200.0,Ford,Focus,2003
Y964O8197RUS,1.0,1000.0,Ford,Focus,1987
H967HY161RUS,2.0,4500.0,Ford,Focus,2009
E394MO152RUS,2.0,10500.0,Ford,Focus,1986
O50699163RUS,1.0,1100.0,Ford,Focus,2005
9463EX178RUS,1.0,1400.0,Ford,Focus,2017
E53677152RUS,2.0,5500.0,Ford,Focus,2004
K338T8197RUS,2.0,17400.0,Ford,Focus,1998
Y4298M777RUS,2.0,2000.0,Skoda,Octavia,1987
Y687HM197RUS,1.0,8594.6,BMW,,2011
8311XX154RUS,2.0,4300.0,Ford,Focus,2009
98037H178RUS,2.0,2500.0,Ford,Focus,1985
7828C8197RUS,2.0,6700.0,Ford,Focus,2013
H980HY161RUS,2.0,1800.0,Ford,Focus,1985
H906YK197RUS,1.0,12000.0,Ford,Focus,2014
7199MT197RUS,1.0,9300.0,Volkswagen,Golf,2014
X908XC197RUS,2.0,46000.0,Volkswagen,Jetta,1988
T171CC96RUS,2.0,2000.0,Ford,Focus,2016
X4108H125RUS,2.0,1300.0,Ford,Focus,1989
Y966O8197RUS,2.0,10400.0,Ford,Focus,2013
K2797K154RUS,2.0,2400.0,Ford,Focus,1998
7089H8163RUS,2.0,4400.0,Toyota,Corolla,1992
9883HX152RUS,1.0,500.0,Ford,Focus,1988
7841C8197RUS,1.0,12000.0,Ford,Focus,2007
9940KK197RUS,1.0,8594.6,Ford,Focus,1988
H224X836RUS,2.0,7000.0,Ford,Focus,1989
H971HY161RUS,2.0,7400.0,Ford,Focus,2011
M0269X197RUS,2.0,20600.0,Ford,Focus,1985
E316EH197RUS,1.0,1300.0,Volkswagen,Touareg,2000
X257HE161RUS,1.0,5000.0,Ford,Focus,2010
H844YH197RUS,2.0,3000.0,Ford,Focus,2018
9523M8178RUS,2.0,300.0,Skoda,Octavia,1984
E33477152RUS,1.0,500.0,Ford,Focus,2017
Y156E877RUS,2.0,7500.0,Ford,Focus,2013
E396MO152RUS,2.0,3000.0,Ford,Focus,2013
E0697X152RUS,2.0,8594.6,Skoda,Octavia,1989
Y969O8197RUS,1.0,15600.0,Ford,Focus,2009
9028CO161RUS,1.0,1500.0,Ford,Focus,2010
7840C8197RUS,2.0,3500.0,Ford,Focus,1990
T6249O50RUS,2.0,8500.0,Ford,Focus,2004
E53677152RUS,2.0,11000.0,Ford,Focus,1990
E42377152RUS,2.0,3000.0,Ford,Focus,2001
9941KK197RUS,1.0,800.0,Ford,Focus,2007
E28877161RUS,1.0,500.0,Ford,Focus,2017
M0299X197RUS,2.0,19200.0,Ford,Focus,2005
M372CH197RUS,1.0,21600.0,Ford,Focus,2002
K040CC197RUS,2.0,3600.0,Ford,Focus,2016
E41577152RUS,2.0,3000.0,Ford,Focus,2009
9763HY161RUS,1.0,900.0,Ford,Focus,2013
T535ET96RUS,2.0,3000.0,Ford,Focus,2001
92918M178RUS,2.0,7600.0,Ford,Focus,1997
Y655E8750RUS,1.0,2600.0,Skoda,Octavia,2015
K2797K154RUS,1.0,8594.6,Ford,Focus,2002
K559KC161RUS,1.0,200.0,Ford,Focus,1994
7369C8197RUS,2.0,10100.0,Ford,Focus,2015
8321XX154RUS,1.0,200.0,Ford,Focus,2016
O134HE197RUS,2.0,11400.0,Ford,Focus,2010
H961HY161RUS,2.0,2500.0,Ford,Focus,1992
M2169X197RUS,2.0,3100.0,Ford,Focus,2011
707987163RUS,1.0,1100.0,Ford,Focus,1990
8234XX154RUS,1.0,1300.0,Ford,Focus,2003
X759HY197RUS,1.0,37500.0,Ford,Focus,1985
O83697197RUS,2.0,6100.0,Ford,Focus,2015
92918M178RUS,1.0,1900.0,Ford,Focus,2009
92928M178RUS,1.0,1200.0,Ford,Focus,2002
E52677152RUS,2.0,2500.0,Ford,Focus,2008
8451M7154RUS,1.0,500.0,Ford,Focus,2011
9589EY178RUS,1.0,8594.6,Ford,Focus,1991
H907YK197RUS,2.0,7100.0,Ford,Focus,2012
O39897197RUS,2.0,3800.0,Ford,Focus,2011
M3879X197RUS,2.0,6300.0,Volkswagen,Touareg,2005
C299K9154RUS,1.0,500.0,Ford,Focus,2013
M0299X197RUS,1.0,9600.0,Ford,Focus,2007
8437XX154RUS,2.0,800.0,Ford,Focus,2002
9468EX178RUS,1.0,4000.0,Ford,Focus,1983
M375CH197RUS,2.0,18100.0,Ford,Focus,2011
H982HY161RUS,1.0,300.0,Ford,Focus,2011
